actual,economy,forecast,impact,name,previous,timestamp_local
2.50%,EUR,,2,Wages in euro zone (YoY) (Q1),2.30%,1560762000.0
2.40%,EUR,2.60%,1,Labor Cost Index (YoY) (Q1),2.30%,1560762000.0
,EUR,,1,German Buba Monthly Report,,1560765600.0
-8.60,USD,11.00,2,NY Empire State Manufacturing Index (Jun),17.80,1560774600.0
-0.566%,EUR,,1,French 12-Month BTF Auction,-0.559%,1560776400.0
-0.549%,EUR,,1,French 3-Month BTF Auction,-0.546%,1560776400.0
-0.565%,EUR,,1,French 6-Month BTF Auction,-0.544%,1560776400.0
64,USD,67,1,NAHB Housing Market Index (Jun),66,1560780000.0
2.170%,USD,,1,3-Month Bill Auction,2.240%,1560785400.0
2.130%,USD,,1,6-Month Bill Auction,2.140%,1560785400.0
,EUR,,3,ECB President Draghi Speaks,,1560790800.0
16.90B,USD,,1,"US Foreign Buying, T-bonds (Apr)",-12.50B,1560801600.0
-7.80B,USD,17.00B,1,Overall Net Capital Flow (Apr),-5.60B,1560801600.0
46.9B,USD,6.5B,2,TIC Net Long-Term Transactions (Apr),-25.9B,1560801600.0
40.80B,USD,,1,TIC Net Long-Term Transactions including Swaps (Apr),-38.30B,1560801600.0
,EUR,,3,ECB President Draghi Speaks,,1560844800.0
,EUR,,2,ECB's De Guindos Speaks,,1560846600.0
-0.476%,EUR,,1,Spanish 3-Month Letras Auction,-0.490%,1560847200.0
7.8,EUR,6.0,2,German ZEW Current Conditions (Jun),8.2,1560848400.0
-21.1,EUR,-5.7,3,German ZEW Economic Sentiment (Jun),-2.1,1560848400.0
-0.1%,EUR,0.9%,1,Core CPI (MoM) (May),0.9%,1560848400.0
0.8%,EUR,0.8%,2,Core CPI (YoY) (May),1.3%,1560848400.0
0.1%,EUR,0.2%,2,CPI (MoM) (May),0.7%,1560848400.0
1.2%,EUR,1.2%,3,CPI (YoY) (May),1.7%,1560848400.0
1.1%,EUR,,1,CPI ex Tobacco (YoY) (May),1.7%,1560848400.0
0.1%,EUR,,1,CPI ex Tobacco (MoM) (May),0.7%,1560848400.0
15.7B,EUR,8.8B,2,Trade Balance (Apr),23.2B,1560848400.0
-20.2,EUR,-3.6,2,ZEW Economic Sentiment,-1.6,1560848400.0
0.3%,USD,0.0%,2,Building Permits (MoM) (May),0.2%,1560861000.0
1.294M,USD,1.296M,3,Building Permits (May),1.290M,1560861000.0
-0.9%,USD,-0.4%,2,Housing Starts (MoM) (May),6.8%,1560861000.0
1.269M,USD,1.239M,2,Housing Starts (May),1.281M,1560861000.0
5.4%,USD,,1,Redbook (YoY),5.0%,1560862500.0
-2.4%,USD,,1,Redbook (MoM),-2.6%,1560862500.0
,EUR,,3,ECB President Draghi Speaks,,1560866400.0
1.985%,USD,,1,52-Week Bill Auction,2.280%,1560871800.0
-0.812M,USD,,2,API Weekly Crude Oil Stock,4.850M,1560889800.0
1.9%,EUR,2.1%,1,German PPI (YoY) (May),2.5%,1560924000.0
-0.1%,EUR,0.2%,2,German PPI (MoM) (May),0.5%,1560924000.0
2.885B,EUR,4.550B,1,Italian Trade Balance (Apr),4.625B,1560931200.0
1.01B,EUR,,1,Italian Trade Balance EU (Apr),1.22B,1560931200.0
20.9B,EUR,23.2B,1,Current Account (Apr),24.7B,1560931200.0
19.2B,EUR,10.6B,1,Current Account n.s.a. (Apr),35.1B,1560931200.0
0.260%,EUR,,1,German 30-Year Bund Auction,0.530%,1560937200.0
4.14%,USD,,1,MBA 30-Year Mortgage Rate,4.12%,1560942000.0
-3.4%,USD,,1,MBA Mortgage Applications (WoW),26.8%,1560942000.0
268.6,USD,,1,MBA Purchase Index,278.4,1560942000.0
511.8,USD,,1,Mortgage Market Index,529.8,1560942000.0
"1,888.8",USD,,1,Mortgage Refinance Index,"1,956.5",1560942000.0
,EUR,,2,ECB's Coeure Speaks,,1560947400.0
,EUR,,3,ECB President Draghi Speaks,,1560952800.0
-3.106M,USD,-1.077M,3,Crude Oil Inventories,2.206M,1560954600.0
-0.444M,USD,,1,Crude Oil Imports,-0.140M,1560954600.0
0.642M,USD,,2,Cushing Crude Oil Inventories,2.096M,1560954600.0
0.132M,USD,,1,Distillate Fuel Production,-0.165M,1560954600.0
-0.551M,USD,0.712M,1,EIA Weekly Distillates Stocks,-1.000M,1560954600.0
0.147M,USD,,1,Gasoline Production,0.227M,1560954600.0
-0.318M,USD,,1,Heating Oil Stockpiles,0.009M,1560954600.0
-1.692M,USD,0.935M,1,Gasoline Inventories,0.764M,1560954600.0
,USD,,3,FOMC Economic Projections,,1560967200.0
,USD,,3,FOMC Statement,,1560967200.0
2.50%,USD,2.50%,3,Fed Interest Rate Decision,2.50%,1560967200.0
,USD,,3,FOMC Press Conference,,1560969000.0
,EUR,,2,ECB's De Guindos Speaks,,1561015800.0
,EUR,,2,ECB Economic Bulletin,,1561017600.0
-0.65%,EUR,,1,French 3-Year BTAN Auction,-0.52%,1561021200.0
-0.38%,EUR,,1,French 5-Year BTAN Auction,-0.19%,1561021200.0
-0.408%,EUR,,1,Spanish 3-Year Bonos Auction,-0.361%,1561023000.0
-0.182%,EUR,,1,Spanish 5-Year Bonos Auction,-0.096%,1561023000.0
"1,662K",USD,"1,688K",1,Continuing Jobless Claims,"1,699K",1561033800.0
-130.4B,USD,-125.0B,2,Current Account (Q1),-143.9B,1561033800.0
216K,USD,220K,2,Initial Jobless Claims,222K,1561033800.0
218.75K,USD,,1,Jobless Claims 4-Week Avg.,217.75K,1561033800.0
0.3,USD,10.6,3,Philadelphia Fed Manufacturing Index (Jun),16.6,1561033800.0
21.4,USD,,1,Philly Fed Business Conditions (Jun),19.7,1561033800.0
28.00,USD,,1,Philly Fed CAPEX Index (Jun),23.30,1561033800.0
15.4,USD,,2,Philly Fed Employment (Jun),18.2,1561033800.0
8.3,USD,,1,Philly Fed New Orders (Jun),11.0,1561033800.0
12.90,USD,,1,Philly Fed Prices Paid (Jun),23.10,1561033800.0
-7.2,EUR,-6.5,1,Consumer Confidence (Jun),-6.5,1561039200.0
115B,USD,107B,1,Natural Gas Storage,102B,1561041000.0
2.140%,USD,,1,4-Week Bill Auction,2.215%,1561044600.0
2.105%,USD,,1,8-Week Bill Auction,2.200%,1561044600.0
0.152%,USD,,1,5-Year TIPS Auction,0.515%,1561050000.0
52.0,EUR,51.0,2,French Manufacturing PMI (Jun),50.6,1561101300.0
52.9,EUR,51.2,1,French Markit Composite PMI (Jun),51.2,1561101300.0
53.1,EUR,51.6,2,French Services PMI (Jun),51.5,1561101300.0
52.6,EUR,52.5,1,German Composite PMI (Jun),52.6,1561102200.0
45.4,EUR,44.6,3,German Manufacturing PMI (Jun),44.3,1561102200.0
55.6,EUR,55.3,2,German Services PMI (Jun),55.4,1561102200.0
-1.61B,EUR,,1,Spanish Trade Balance,-2.35B,1561104000.0
47.8,EUR,48.0,2,Manufacturing PMI (Jun),47.7,1561104000.0
52.1,EUR,51.8,2,Markit Composite PMI (Jun),51.8,1561104000.0
53.4,EUR,53.0,2,Services PMI (Jun),52.9,1561104000.0
,EUR,,2,Euro Summit,,1561111200.0
50.1,USD,50.5,2,Manufacturing PMI (Jun),50.5,1561124700.0
50.6,USD,,2,Markit Composite PMI,50.9,1561124700.0
50.7,USD,51.0,2,Services PMI (Jun),50.9,1561124700.0
5.34M,USD,5.29M,3,Existing Home Sales (May),5.21M,1561125600.0
2.5%,USD,1.2%,2,Existing Home Sales (MoM) (May),-0.4%,1561125600.0
,USD,,2,FOMC Member Brainard Speaks,,1561132800.0
,USD,,2,FOMC Member Mester Speaks,,1561132800.0
789,USD,,2,U.S. Baker Hughes Oil Rig Count,788,1561136400.0
967,USD,,2,U.S. Baker Hughes Total Rig Count,969,1561136400.0
,USD,,2,FOMC Member Daly Speaks,,1561143600.0
-52.3K,USD,,1,CFTC Aluminium speculative net positions,-86.8K,1561145400.0
-24.0K,USD,,1,CFTC Copper speculative net positions,-30.5K,1561145400.0
270.3K,USD,,1,CFTC Corn speculative net positions,239.4K,1561145400.0
363.1K,USD,,2,CFTC Crude Oil speculative net positions,351.7K,1561145400.0
204.3K,USD,,2,CFTC Gold speculative net positions,184.2K,1561145400.0
-137.3K,USD,,1,CFTC Natural Gas speculative net positions,-126.9K,1561145400.0
51.9K,USD,,2,CFTC S&P 500 speculative net positions,54.9K,1561145400.0
14.5K,USD,,1,CFTC Silver speculative net positions,2.7K,1561145400.0
-2.7K,USD,,1,CFTC Soybeans speculative net positions,-47.7K,1561145400.0
29.3K,USD,,1,CFTC Wheat speculative net positions,9.7K,1561145400.0
-52.3K,EUR,,2,CFTC EUR speculative net positions,-86.8K,1561145400.0
